"Country or Area Code";"Country or Area";"Year(s)";"Value"
"1501";"Lower-middle-income countries";"2021";"3139781.189"
"442";"Luxembourg";"2021";"633.705"
"450";"Madagascar";"2021";"28446.16"
"454";"Malawi";"2021";"19666.166"
"458";"Malaysia";"2021";"32786.401"
"462";"Maldives";"2021";"535.576"
"466";"Mali";"2021";"20875.109"
"470";"Malta";"2021";"442.699"
"584";"Marshall Islands";"2021";"59.608"
"474";"Martinique";"2021";"374.494"
"478";"Mauritania";"2021";"4779.377"
"480";"Mauritius";"2021";"1273.241"
"175";"Mayotte";"2021";"279.816"
"928";"Melanesia";"2021";"11335.019"
"484";"Mexico";"2021";"130323.611"
"954";"Micronesia";"2021";"554.601"
"583";"Micronesia (Fed. States of)";"2021";"116.33"
"911";"Middle Africa";"2021";"185183.257"
"1517";"Middle-income countries";"2021";"5808763.961"
"492";"Monaco";"2021";"39.507"
"496";"Mongolia";"2021";"3331.305"
"499";"Montenegro";"2021";"627.78"
"500";"Montserrat";"2021";"4.986"
"901";"More developed regions";"2021";"1274949.562"
"504";"Morocco";"2021";"37359.193"
"508";"Mozambique";"2021";"32185.247"
"104";"Myanmar";"2021";"54844.821"
"516";"Namibia";"2021";"2589.205"
"520";"Nauru";"2021";"10.866"
"524";"Nepal";"2021";"29774.559"
"528";"Netherlands";"2021";"17167.388"
"540";"New Caledonia";"2021";"288.26"
"554";"New Zealand";"2021";"4859.946"
"558";"Nicaragua";"2021";"6702.659"
"562";"Niger";"2021";"25150.495"
"566";"Nigeria";"2021";"211542.793"
"570";"Niue";"2021";"1.615"
"1518";"No income group available";"2021";"2978.249"
"807";"North Macedonia";"2021";"2082.278"
"912";"Northern Africa";"2021";"250863.733"
"1833";"Northern Africa and Western Asia";"2021";"535175.733"
"918";"Northern America";"2021";"371023.367"
"905";"Northern America";"2021";"371023.367"
"924";"Northern Europe";"2021";"106649.925"
"580";"Northern Mariana Islands";"2021";"57.904"
"578";"Norway";"2021";"5464.776"
"909";"Oceania";"2021";"43219.346"
"1835";"Oceania (excluding Australia and New Zealand)";"2021";"12578.36"
"512";"Oman";"2021";"5216.26"
"586";"Pakistan";"2021";"225489.999"
"585";"Palau";"2021";"18.159"
"591";"Panama";"2021";"4382.695"
"598";"Papua New Guinea";"2021";"9124.333"
"600";"Paraguay";"2021";"7223.093"
"604";"Peru";"2021";"33283.8"
"608";"Philippines";"2021";"111098.559"
"616";"Poland";"2021";"37778.958"
"957";"Polynesia";"2021";"688.74"
"620";"Portugal";"2021";"10162.783"
"630";"Puerto Rico";"2021";"2872.381"
"634";"Qatar";"2021";"2931.766"
"410";"Republic of Korea";"2021";"51291.892"
"498";"Republic of Moldova";"2021";"4022.414"
"638";"Réunion";"2021";"901.733"
"642";"Romania";"2021";"19134.312"
"643";"Russian Federation";"2021";"145836.703"
"646";"Rwanda";"2021";"13292.325"
"654";"Saint Helena";"2021";"6.092"
"659";"Saint Kitts and Nevis";"2021";"53.542"
"662";"Saint Lucia";"2021";"184.428"
"666";"Saint Pierre and Miquelon";"2021";"5.771"
"670";"Saint Vincent and the Grenadines";"2021";"111.272"
"652";"Saint-Barthélemy";"2021";"9.913"
"663";"Saint-Martin (French part)";"2021";"39.184"
"882";"Samoa";"2021";"200.759"
"674";"San Marino";"2021";"33.994"
"678";"Sao Tome and Principe";"2021";"223.409"
"682";"Saudi Arabia";"2021";"35350.128"
"686";"Senegal";"2021";"17212.022"
"688";"Serbia";"2021";"8690.654"
"690";"Seychelles";"2021";"98.939"
"694";"Sierra Leone";"2021";"8151.912"
"702";"Singapore";"2021";"5896.165"
"534";"Sint Maarten (Dutch part)";"2021";"43.457"
"703";"Slovakia";"2021";"5457.427"
"705";"Slovenia";"2021";"2077.707"
"1637";"Small Island Developing States (SIDS)";"2021";"72786.577"
"90";"Solomon Islands";"2021";"704.787"
"706";"Somalia";"2021";"16378.518"
"710";"South Africa";"2021";"60046.806"
"931";"South America";"2021";"434347.485"
"728";"South Sudan";"2021";"11448.65"
"920";"South-Eastern Asia";"2021";"675266.983"
"913";"Southern Africa";"2021";"68365.457"
"5501";"Southern Asia";"2021";"1963036.03"
"925";"Southern Europe";"2021";"151894.168"
"724";"Spain";"2021";"46711.665"
"144";"Sri Lanka";"2021";"21499.971"
"275";"State of Palestine";"2021";"5231.002"
"947";"Sub-Saharan Africa";"2021";"1123797.654"
"729";"Sudan";"2021";"44955.521"
"740";"Suriname";"2021";"591.992"
"752";"Sweden";"2021";"10156.12"
"756";"Switzerland";"2021";"8709.393"
"760";"Syrian Arab Republic";"2021";"18797.211"
"762";"Tajikistan";"2021";"9763.439"
"764";"Thailand";"2021";"69946.905"
"626";"Timor-Leste";"2021";"1346.184"
"768";"Togo";"2021";"8484.011"
"772";"Tokelau";"2021";"1.371"
"776";"Tonga";"2021";"106.716"
"780";"Trinidad and Tobago";"2021";"1403.54"
"788";"Tunisia";"2021";"11938.659"
"792";"Turkey";"2021";"84809.371"
"795";"Turkmenistan";"2021";"6124.093"
"796";"Turks and Caicos Islands";"2021";"39.236"
"798";"Tuvalu";"2021";"11.933"
"800";"Uganda";"2021";"47081.934"
"804";"Ukraine";"2021";"43452.324"
"784";"United Arab Emirates";"2021";"9979.577"
"826";"United Kingdom";"2021";"68158.72"
"834";"United Republic of Tanzania";"2021";"61538.05"
"840";"United States of America";"2021";"332839.252"
"850";"United States Virgin Islands";"2021";"104.199"
"1502";"Upper-middle-income countries";"2021";"2668982.772"
"858";"Uruguay";"2021";"3484.776"
"860";"Uzbekistan";"2021";"33959.606"
"548";"Vanuatu";"2021";"314.613"
"862";"Venezuela (Bolivarian Republic of)";"2021";"29147.049"
"704";"Viet Nam";"2021";"98144.309"
"876";"Wallis and Futuna Islands";"2021";"11.122"
"914";"Western Africa";"2021";"412768.09"
"922";"Western Asia";"2021";"284312"
"926";"Western Europe";"2021";"196371.091"
"732";"Western Sahara";"2021";"611.876"
"900";"World";"2021";"7876434.783"
"887";"Yemen";"2021";"30547.959"
"894";"Zambia";"2021";"18932.835"
"716";"Zimbabwe";"2021";"15104.755"

